Texto	Humanos	Logistic Regression	Naive Bayes	Support Vector Machines	Ensemble
Fui hoje buscar o meu pc da garantia e deram-me um novo a escolha, assim está bem xD Welcome ASUS XD	1.0	Positivo	Positivo	Positivo	Positivo
@miriam_br Coma bastante chocolate pra dormir feito uma pedra e sonhar com Zelda.	1.0	Positivo	Positivo	Negativo	Positivo
@AndréMOficial; que Deus nosso pai abençõe rica/te o seu dia . Que Ele faça chover bênçãos de saúde, alegria, felicidade, harmonia sobre vc!	1.0	Positivo	Positivo	Negativo	Positivo
Quando a pessoa gosta de basquete ela já ganha pontos comigo	1.0	Negativo	Negativo	Negativo	Negativo
Rachando o bico, chorando esse How I met your  mothrr é demais ...	1.0	Positivo	Positivo	Negativo	Positivo
Um brother, um irmão. Um cara fantástico. @gdm_furia  Esse cara... Sem palavras para ele.  Atitutes e apoio smp	1.0	Positivo	Positivo	Negativo	Positivo
SÓ TEM DIAURA NO MEU CELULAR AMO DIAURA DIAURA É FANTÁSTICO  Ah metade do meu celular é Jrock mesmo	1.0	Positivo	Negativo	Positivo	Positivo
não sigo a moda a roupa que eu achar legal, eu uso	1.0	Positivo	Positivo	Positivo	Positivo
@maahbrasil_ jesus, longe demais de mim 😕	1.0	Positivo	Positivo	Positivo	Positivo
O Diego é muito viciado em futebol, podem chamar ele segundos antes e não importa ele larga tudo e vai desesperado, eu heim	1.0	Negativo	Negativo	Negativo	Negativo
@sozimPRO eu te amo muito meu amorrr	1.0	Positivo	Positivo	Positivo	Positivo
Mas quando o mel é bom, a abelha sempre volta...	1.0	Positivo	Positivo	Positivo	Positivo
Ainda viciada nesse cover maravilhoso, da Mani ❤😍	1.0	Positivo	Negativo	Positivo	Positivo
SAIU TEASER DE STAR WARS VIII SLSJDKSJSSKK EU NAO TO BEM	1.0	Positivo	Positivo	Positivo	Positivo
eu nem me recuperei do episodio VII de star wars, e ja ta lançando teaser do episódio VIII. não aguento.	1.0	Positivo	Positivo	Negativo	Positivo
@WeLuvAllyB papa! eu te amo	1.0	Positivo	Positivo	Negativo	Positivo
- pq está me olhando assim? Está me deixando nervoso  Wine: Gosto da cor dos seus olhos   UEHUHEUHEUHEHEUHEEEUHEUHEUHEUHEUHEUEHUEH	1.0	Positivo	Positivo	Negativo	Positivo
@brunnovittor saudade demais de vocêeee, quero te dar um abraço hoje viu? Te amo!!!	1.0	Positivo	Positivo	Negativo	Positivo
@cabeyosmile MARAVILHOSO	1.0	Positivo	Negativo	Positivo	Positivo
Vou gritar te amo demais!	1.0	Positivo	Positivo	Negativo	Positivo
@CibelleOliver06 é muito gente boa, amo conversar com você, tá mais de 1 ano falando que vai vim aqui mas nunca vem, amo você, sdds❤	1.0	Positivo	Positivo	Positivo	Positivo
@iigorgustavo gosto de basquete e tu?	1.0	Positivo	Positivo	Positivo	Positivo
Nao queria falar nada mas adoro o wesley	1.0	Negativo	Positivo	Positivo	Positivo
Eu tenho vontade de beijar a televisão toda vez que passa o comercial da boticário que tem a Cléo Pires	1.0	Negativo	Positivo	Positivo	Positivo
Iñárritu é um puta diretor O Regresso é um puta filme e merece todos os prêmios que tá ganhando sim e se reclamar ainda leva o Oscar	1.0	Positivo	Positivo	Positivo	Positivo
Aee inscrição no enem feita com sucesso !!!	1.0	Positivo	Positivo	Negativo	Positivo
@bibitatto O Sony Vegas é Muito Bom BIBI !! BIBI PROCURA UNS EFEITOS QUE DA PRA INSTALAR NO SONY VEGAS	1.0	Positivo	Positivo	Negativo	Positivo
Tudo nesse lugar é comestível. Até eu sou comestível, mas isso seria canibalismo, meus queridinhos. Adoro esse filme	1.0	Positivo	Positivo	Negativo	Positivo
to vendendo meu celular se alguém quiser comprar um iPhone 5s 16gb cinza espacial, na garantia Apple, me chameee	1.0	Negativo	Negativo	Negativo	Negativo
Pensando seriamente voltar logo em manhumirim melhor hamburguer maior hamburguer mais barato hamburguer	1.0	Positivo	Positivo	Positivo	Positivo
@vsffniall demais, eu ate baixei a versao q ele ta cantando sem ser na audição	1.0	Negativo	Negativo	Negativo	Negativo
@giujong EU TAMBÉM!!!!!!!!!!!!!! queria eu ser gostoso como um sushi :T	1.0	Positivo	Positivo	Negativo	Positivo
Tava aqui stalkeando minha ex-crusha lá do vôlei, afffff tão lindaaa :((((((	1.0	Positivo	Positivo	Negativo	Positivo
@rafafamartiins !!!!!!! queria alguma coisa do mcdonalds, pode ser?	1.0	Positivo	Positivo	Negativo	Positivo
Cacau: a MENINA que todo mundo julga IMATURA dando um show de argumentação com os adultos da casa. Sim, o jogo virou! #BBB16	1.0	Negativo	Positivo	Negativo	Negativo
Sábado maravilhoso pra escutar o Amarantes cantar e pensar em todos os vacilos da vida	1.0	Positivo	Positivo	Positivo	Positivo
Kylie é um nome maravilhoso #askbelieber	1.0	Positivo	Positivo	Positivo	Positivo
@Pandinhaa02_ Meu perfil tá legal ? :v	1.0	Positivo	Positivo	Negativo	Positivo
@jairo_a_vaca Ah... Minha vida é bem rotineira durante a semana tbm. Mas como gosto de fotografia semana posto alguma bobagem lá. ☺️	1.0	Negativo	Positivo	Negativo	Negativo
Teus sinais me confundem da cabeça aos pés mas por dentro eu te devoro.	1.0	Positivo	Positivo	Negativo	Positivo
Surpresaa de amor é bom bom bom 🎶😂💕	1.0	Positivo	Negativo	Positivo	Positivo
Seguindo a @FiatBR esse Fiat Toro é maravilhoso com certeza o carro do ano  Vou ficar muito feliz se ganhar um na promoção	1.0	Positivo	Positivo	Positivo	Positivo
pirulito com bala dentro gosto	1.0	Positivo	Negativo	Positivo	Positivo
não tem jeito eu sempre escuto as mesmas músicas, as músicas que eu amo alsksjj	1.0	Negativo	Positivo	Negativo	Negativo
RT @starswithnames: @ cade meu pão de queijo meu doce mais importante ainda cade meus bejo.........	1.0	Negativo	Positivo	Negativo	Negativo
Final de semana maravilhoso só rajadão Mac Mac mano💃💃💃💃💃💃😏👌	1.0	Positivo	Negativo	Positivo	Positivo
Minha mãe me deu luz ... E eu to brilhando até hj !!💁🏻👑	1.0	Positivo	Positivo	Negativo	Positivo
eu espero que a nova trilogia star wars siga o padrão do VII: um remake melhorado da trilogia original	1.0	Positivo	Positivo	Negativo	Positivo
Eu com 18 anos na cara amo frozen... Realmente sou uma criança de maior idade	1.0	Negativo	Negativo	Negativo	Negativo
Puxar canção foi a emocionante demais pra mim!	1.0	Positivo	Positivo	Negativo	Positivo
Parece que preciso comprar outra Apple TV. A turminha gostou.	1.0	Negativo	Negativo	Negativo	Negativo
@jiminopes ekwopedkowprko awwww a zelda tem medo de estranhos entao ela so fica no meu colo	1.0	Negativo	Negativo	Negativo	Negativo
Ainda bem que eu nem quis ir pro vôlei hoje kkk	1.0	Positivo	Positivo	Positivo	Positivo
Queria eu ter um trabalho e comprar um Xbox e um ar condicionado	1.0	Negativo	Negativo	Positivo	Negativo
Trailer da segunda temporada de Demolidor e teaser de Star Wars Vlll, aí meu coração...	1.0	Positivo	Positivo	Negativo	Positivo
quero cacau show	1.0	Positivo	Positivo	Positivo	Positivo
@tatasuppoo adoro, meu nome também tá nessa aí kkkkkkkkkkkkkkk	1.0	Positivo	Positivo	Negativo	Positivo
A Netflix vai fazer uma série baseada em Zelda, to chorando feito um menino agora	1.0	Negativo	Positivo	Negativo	Negativo
"""O REGRESSO"" ou como torturar @LeoDiCaprio para ganhar, finalmente, um Oscar."	1.0	Negativo	Positivo	Negativo	Negativo
Seja uma garota interessante. De rostinho bonito está cheio por aí	1.0	Negativo	Negativo	Negativo	Negativo
#DECIOVENDAS.COM  AGORA COM AS MELHORES LOJAS DE COSMÉTICO DO PAIS EUDORA,BOTICÁRIO, AVON ,NATURA E MUITOS MAIS NÃO PERCAM	1.0	Positivo	Positivo	Negativo	Positivo
Hoje não estou bom pra beber.......... ESTOU EXCELENTE!!!!! ✌🏼️💥🚀🌀	1.0	Positivo	Positivo	Positivo	Positivo
Mas não será tão ruim dessa vez	1.0	Negativo	Positivo	Negativo	Negativo
@teamkstars que primeiro jogo foi esse? Esse time jogou demais e parece que não foi tudo que eles sabem ou treinaram!	1.0	Negativo	Negativo	Negativo	Negativo
Aquele melhor bom dia!!!!💏💞	1.0	Positivo	Positivo	Positivo	Positivo
a linda da @9090ray fez um snap maravilhoso meu.	1.0	Positivo	Negativo	Positivo	Positivo
#cumplicesdeumresgate( Cada vem mais interessante....#top	1.0	Positivo	Positivo	Positivo	Positivo
#baitaamigos um megaaaa abração a vcs ai!!! Que bom ver vcs todos ai San e salvos depois desse dilúvio ai em São Paulo. :)♡♡ Vai corinthians	1.0	Positivo	Positivo	Negativo	Positivo
Mas foi simplesmente maravilhoso 💥	1.0	Positivo	Positivo	Positivo	Positivo
antigamente os brinquedos do mcdonalds eram tão dhrs	1.0	Positivo	Positivo	Positivo	Positivo
Conversa de mesa: exercício físico vai alem corpo bonito, vale + pra alimentar suas células de energia boa e liberar aquela sensação legal.	1.0	Positivo	Negativo	Negativo	Negativo
Tempo maravilhoso p passar o dia de conchinha com a netflix ❤	1.0	Positivo	Negativo	Positivo	Positivo
aquele almoço clássico com a mari, amo	1.0	Positivo	Positivo	Positivo	Positivo
@uaimatheus energia boa mandamos sempre pra vcs	1.0	Positivo	Negativo	Positivo	Positivo
E esse finlandês maravilhoso	1.0	Positivo	Negativo	Positivo	Positivo
@fabsfdb Criolo representa. Nunca vi alguém em frente às câmeras combater tão fortemente um preconceito. É um cara fantástico.	1.0	Negativo	Positivo	Negativo	Negativo
@leeveronvis2k concordo e o mesmo se aplica ao recheio das trufas da cacau show. Margarina doce.	1.0	Positivo	Positivo	Negativo	Positivo
voltei com meu celular!!!! mano q felicidade	1.0	Positivo	Positivo	Negativo	Positivo
Pelo menos conseguir comprar o casac, não oq eu queria mais foi um legal até	1.0	Positivo	Positivo	Positivo	Positivo
Glória à força viva que atua em mim, o bom e o ruim, a vida vem nos lapidar	1.0	Positivo	Positivo	Negativo	Positivo
Ficar com o comercial do outback na na cabeça até domingo que vem 😒  #TWD6NaFOX	1.0	Positivo	Positivo	Positivo	Positivo
@santiodonnell excelente Santiago!	1.0	Positivo	Positivo	Negativo	Positivo
@_isadoravillela @_biancagn @danielacvillela @apegando te adoro fofa	1.0	Negativo	Positivo	Positivo	Positivo
ADORO coraçãozinho	1.0	Positivo	Positivo	Positivo	Positivo
@mariananeves51 @naovalebujas tem 2 motivos. 1 - compaixão (para não te sentires excluída do nosso grupo) 2 - o olho dele está fantástico	1.0	Positivo	Positivo	Negativo	Positivo
Gente, o jogo da kylie e da Kendall é legal ???	1.0	Positivo	Positivo	Positivo	Positivo
Eu gosto assim	1.0	Positivo	Negativo	Positivo	Positivo
Amanhã vou pra aula só pq tem educação física. Quero jogar volei	1.0	Negativo	Negativo	Negativo	Negativo
Gosto do facto de haver raparigas interessadas por futebol	1.0	Positivo	Negativo	Positivo	Positivo
Jogar Zelda é bom demais! Qualquer jogo da franquia na real. Joguei todos e quando volto a jogar me sinto bem! JOGO MÁGICO!	1.0	Positivo	Positivo	Negativo	Positivo
@siempreprotesta @15_onedirection @Clark_Shoe fantástico, lindas cores.	1.0	Negativo	Positivo	Negativo	Negativo
Imagina que louco de repente você se vê como uma vegetariana viciada em hambúrguer.	1.0	Positivo	Positivo	Negativo	Positivo
O regresso que filme foda!!!!!	1.0	Positivo	Positivo	Negativo	Positivo
Fone da Apple é sagrado	1.0	Negativo	Negativo	Negativo	Negativo
Dia dos namorados é só um lance capitalista, pra quem ama todo dia é dia de namorar transar e trocar presente	1.0	Positivo	Negativo	Positivo	Positivo
Que diaaaaa maravilhoso	1.0	Positivo	Negativo	Positivo	Positivo
@mikelex_ ai simmm meu parente, a lenda de zelda é foda dms	1.0	Negativo	Positivo	Negativo	Negativo
15/02 é tipo natal,  pagamento do Tesouro Direto. É o único dia do ano que não me sinto roubado pelo governo. Pensando bem,é melhor q natal	1.0	Positivo	Positivo	Negativo	Positivo
Ja fui em alguns shows SERTANEJO e levei a ARMY BOMB, pq? Pq é legal ficar balançando é bonitinho. E eu to apoiando o cantor isso q importa	1.0	Negativo	Positivo	Negativo	Negativo
Entre garrafas e maços vazios Td para q eu n seja frio, entre meus defeitos e fases que eu vivo, as q passei, nessa estrada eu me encontrei	1.0	Negativo	Negativo	Negativo	Negativo
Tô com saudade de tu.. do teu abraço gostoso, do teu olhar carinhoso...	1.0	Positivo	Negativo	Negativo	Negativo
Melhor dia dos namorados, mm	1.0	Positivo	Positivo	Positivo	Positivo
Futebol é mt mais q um jogo pra gnt	1.0	Negativo	Negativo	Negativo	Negativo
Sou tão boa namorada que dei um grande presente de mim para mim 😂😂😂😂 já que todos os namorados trocaram presentes 😂😏	1.0	Positivo	Positivo	Negativo	Positivo
@anathaismatos @mariomarra @hevertonfutebol @Neto821 Que absurdo isso! Ana Thaís sabe tudo! Héverton e Mário Marra são mitos!	1.0	Positivo	Positivo	Negativo	Positivo
Não existe lugar que eu ame mais que esse Rio de Janeiro	1.0	Negativo	Positivo	Positivo	Positivo
@differentmars adoro que me abracem	1.0	Positivo	Positivo	Positivo	Positivo
Vou confessar que eu tinha um crush pelo Link do Legend of Zelda... Na verdade ainda tenho #prontofalei	1.0	Negativo	Positivo	Negativo	Negativo
Ela é a pergunta e é a resposta. Ela é minha escuridão minha Estela	1.0	Positivo	Positivo	Negativo	Positivo
@tammynhoca @GamerPatife xbox não merece isso, nois tem Killer Instinct	1.0	Negativo	Negativo	Negativo	Negativo
Basquete la vamos nois 🏀	1.0	Positivo	Positivo	Positivo	Positivo
Acabei de ver TWD, to arrepiado dos pés a cabeça e sem palavras, como álguem dúvida de que essa é a melhor série? Uau	1.0	Negativo	Positivo	Negativo	Negativo
@gabrielleayala eu só tomei um suco desse no outback e achei a coisa mais deli... Não sabia nem que tinha no kanpai	1.0	Negativo	Positivo	Negativo	Negativo
Recebi  2 cartas do dia dos namorados hahahahahaha	1.0	Negativo	Positivo	Negativo	Negativo
@mrcs_2 excelente final de semana pra você também, lindezo. Projeto monstrinho ainda pra mim. Kkkk	1.0	Positivo	Positivo	Negativo	Positivo
Vontade de assistir The Prince of Tennis de novo <3	1.0	Positivo	Positivo	Positivo	Positivo
@BBBComenteii @BBBonenho  ahh, agora melhorou. Para superar máfia Dourada, precisa muito. Até entrevista p o fantástico foi dada.	1.0	Positivo	Positivo	Negativo	Positivo
Quero muito comer a torta da cacau show	1.0	Positivo	Positivo	Positivo	Positivo
Gosto dessa música 😻	1.0	Negativo	Positivo	Positivo	Positivo
#batebolanaveia Muricy é excelente e corajoso... Ir pro carioca realmente é um desafio dos maiores!	1.0	Positivo	Positivo	Positivo	Positivo
@JacksonBarreto A situação é compreensível desde que a equipe econômica do governo melhore a interlocução com a sociedade.	1.0	Negativo	Negativo	Negativo	Negativo
Uma paixão por São Paulo = lá tem Outback 😍	1.0	Positivo	Positivo	Positivo	Positivo
@cabellouai muito sinistro, onde eu morava na Bahia era frio então... Sim, vôlei também é ótimo, veeeem !!	1.0	Positivo	Positivo	Negativo	Positivo
tenho um orgulho enorme em saber dançar Michael Jackson é uma honra por demonstrar o que o rei do Pop nos deu enquanto era vivo	1.0	Positivo	Positivo	Positivo	Positivo
@sophiabraginski @balial963 CONTINUA FANTÁSTICO ESSE HOMEM 👌👌👌👏😍😍💘💕	1.0	Positivo	Positivo	Positivo	Positivo
Do tipo estou falando com o André sobre universidades !! Entrar na universidade de Coimbra era TAM fantástico	1.0	Positivo	Positivo	Negativo	Positivo
matheus chamando o renan de gay eu ADORO #BBB16	1.0	Positivo	Negativo	Positivo	Positivo
Para além de que, provavelmente, algum tempo sem até pode ser positivo... pode criar saudades xD	1.0	Negativo	Positivo	Negativo	Negativo
Bom dia começa com alegriaa	1.0	Positivo	Negativo	Negativo	Negativo
@danielamercury Fantástico!! A magia da sua música e a sua bondade ultrapassa todos os lugares do Mundo <3	1.0	Positivo	Positivo	Positivo	Positivo
@xJavert_ || te adoro Clau♡	1.0	Positivo	Positivo	Positivo	Positivo
Fantástico fazendo a boa 👏	1.0	Positivo	Positivo	Positivo	Positivo
@nialljealousy ai que bom, mano aq em casa todo mundo sabe q sou a loca em meninos com cabelo grande e q vou namorar um assim	1.0	Negativo	Negativo	Negativo	Negativo
"Papa Francisco pede que fiéis rezem para Brasil ter ""harmonia e paz"""	1.0	Positivo	Negativo	Positivo	Positivo
@Simplemente_AS @TaniaFlores1201 Sofi te amo❤️😘	1.0	Positivo	Negativo	Positivo	Positivo
@intterstellar ata, gosto da turma? Hahsha	1.0	Positivo	Positivo	Negativo	Positivo
esse fone da Apple é perfeito nossa	1.0	Negativo	Negativo	Negativo	Negativo
“@ToniFigo1945: @Pepez_Legal Esta semana livro na gráfica ai fico livre ...” Maravilha .. vai sair ! Te ligo	1.0	Positivo	Positivo	Negativo	Positivo
"@cunha_iasmin pra que comer no ""autibequi"" de graça se eu posso comer meu fini de star wars de graça"	1.0	Positivo	Positivo	Positivo	Positivo
tia zelda é apaixonada pela clara, hahaha	1.0	Positivo	Positivo	Negativo	Positivo
@Gabiis2000 aí amo essa foto, aliás amo todas as fotos desse dia	1.0	Negativo	Negativo	Negativo	Negativo
Essa música da frozen 💙 tão fofinha kkkk	1.0	Positivo	Positivo	Negativo	Positivo
Minha mãe mandou um whatsapp as 06:15 da manhã pra dizer q amou O Regresso.  Que orgulho!!!!  (Só não precisava ser as 06:15)	1.0	Positivo	Positivo	Negativo	Positivo
@MatheusPadilha <3 te amo e não é teto é soco na nossa cara acostumada com a mesmice da sociedade	1.0	Negativo	Positivo	Positivo	Positivo
Adoro ser pobre, sempre fico feliz com coisas simples na vida, tipo: Wi-Fi dentro do avião !!!!!!	1.0	Positivo	Positivo	Negativo	Positivo
Russell Westbrook é um puta jogador de basquete. Um dos mais maneiros de assistir. Sempre afim de jogo, sempre competitivo	1.0	Positivo	Positivo	Negativo	Positivo
Essa Lara do vôlei Pinheiros é tão linda.	1.0	Negativo	Positivo	Negativo	Negativo
pra mim cacau e aquele cacau show gostoso da porra queria um branco	1.0	Negativo	Positivo	Negativo	Negativo
pense em um olho castanho maravilhoso o dele me perco	1.0	Positivo	Negativo	Positivo	Positivo
começar a fazer as coisas com pés e cabeça e a empenhar-me a 100%	1.0	Negativo	Negativo	Positivo	Negativo
Bunitim demais PARABENS THIAGO SERVO	1.0	Positivo	Positivo	Positivo	Positivo
O dia dos namorados foi intenso	1.0	Positivo	Positivo	Positivo	Positivo
Quero saber qual é o amigo que vai comprar pra mim, outro carregador da Apple, só pra não perder o contato cmg	1.0	Negativo	Negativo	Negativo	Negativo
ao menos n sou daquelas que só ligam a futebol mm pós gajos curtirem delas	1.0	Positivo	Negativo	Positivo	Positivo
@IsabellySabo foi assim: monstros sa>enrolados>procurando nemo>toy story 3>frozen>toy story 3>monstros sa>enrolados HAHAHAHAHA juro.	1.0	Positivo	Positivo	Negativo	Positivo
@_GuiiR @Andlu1 O filme deste ano é do primeiro jogo, o Warcraft clássico. Provavelmente teremos mais de 1 trilogia para TENTAR contar tudo	1.0	Positivo	Negativo	Negativo	Negativo
É sempre bom aparecer de vez enquanto. Quem não é visto não é lembrado.	1.0	Positivo	Positivo	Negativo	Positivo
Cagando estrelas de felicidade com esses tweets	1.0	Negativo	Positivo	Negativo	Negativo
Digam o que quiserem do Bobby, mas é inegável que ele é um excelente rapper	1.0	Positivo	Positivo	Positivo	Positivo
meu primo ta assobiando musicas de zelda ocarina of time eu to pra chorar eu aMO ZElda	1.0	Positivo	Positivo	Positivo	Positivo
sdds zelda	1.0	Positivo	Positivo	Positivo	Positivo
@LuanaMenna13 isso é fantástico na nossas vidas, amizade e admiração	1.0	Positivo	Positivo	Positivo	Positivo
Sério, poder voltar pro karate e pegar minha faixa preta, jogar basquete e vólei, tudo isso e mais um pouco. <3	1.0	Positivo	Positivo	Negativo	Positivo
e assistam O Regresso se vcs gostam de fotografia foda, leo di caprio, planos sequências sensacionais e agonia	1.0	Positivo	Positivo	Negativo	Positivo
"@Cobertura1DBr_ na verdade ela diz ""Eu não poderia pedir um dia dos namorados melhor"" não namorado! 💚"	1.0	Negativo	Positivo	Negativo	Negativo
particularmente nem sei mais qual é a cor dos analgésicos depois da musicoterapia classica (escutar musica e lavar louça) p/ sanar as dores	1.0	Positivo	Positivo	Positivo	Positivo
Cancelaram o show do Lobão, de novo, por falta de público. Mais uma e ele pede música no fantástico.	1.0	Positivo	Positivo	Negativo	Positivo
Meu dia vai ser bom por eu ver a ju hj ❤	1.0	Positivo	Positivo	Positivo	Positivo
o filme de warcraft vai ser foda e de god of war então porra ia ser épico	1.0	Positivo	Negativo	Negativo	Negativo
esse garoto é maravilhoso gente	1.0	Positivo	Negativo	Positivo	Positivo
@gabbriwla claro gostou do justin ganhando ou não	1.0	Negativo	Negativo	Positivo	Negativo
Por mais pessoas como os assistentes da apple, me ligaram em 1 min e trocaram meu carregador em 20	1.0	Negativo	Negativo	Negativo	Negativo
Excelente lo de Filipe Luis	1.0	Positivo	Positivo	Positivo	Positivo
Finalmente vou parar de usar aquele rg falso horroroso, pq agora tenho de 18	-1.0	Negativo	Negativo	Negativo	Negativo
Porém ele merece essa surpresa ' hj tem ' família tá terrível 😍🍻🎤	-1.0	Negativo	Negativo	Negativo	Negativo
que dia horroroso mas meu deus hein	-1.0	Negativo	Negativo	Negativo	Negativo
Sabe o que acho estranho? Trabalho em cima de um McDonalds que sempre lota na sexta e fica vazio na segunda. Galera faz dieta tudo errado..	-1.0	Negativo	Negativo	Negativo	Negativo
Rio de Janeiro está em estágio de atenção por causa da chuva mas até agora não vi sinal da chuva	-1.0	Negativo	Negativo	Negativo	Negativo
@azeaIia porque eu tentei baixar p jogar no xbox e nao consegui	-1.0	Positivo	Positivo	Negativo	Positivo
odeio esperar vei	-1.0	Negativo	Negativo	Negativo	Negativo
Porra vei, nem cheguei a por os pés na escola e ja arrumaram rolo pra mim tlg	-1.0	Negativo	Negativo	Negativo	Negativo
no domingo é hambúrguer, na segunda é batata frita. Ôh, céus! Assim não dar, né?	-1.0	Negativo	Positivo	Negativo	Negativo
Rolê de ontem deu péssimo 😪	-1.0	Negativo	Negativo	Negativo	Negativo
negocio de so colocar a culpa da dengue/zika no governo nao cola. Brasileiro é irresponsavel sim e so toma atitude qnd ta fdd ISSO SE TOMAR	-1.0	Negativo	Negativo	Positivo	Negativo
péssimo wifi hoje to decepcionada	-1.0	Negativo	Negativo	Negativo	Negativo
Eu gosto de arrotar, principalmente aqueles arrotos grandes e barulhentos, não tenho educação msm	-1.0	Positivo	Negativo	Positivo	Positivo
O elenco de Arigatô . Ops! Sol Nascente pq não vai ter esse nome horroroso tá ficando bom.	-1.0	Positivo	Negativo	Negativo	Negativo
Acho tão podre os namorados terem as passes um do outro, para mim isso é não ter confiança	-1.0	Positivo	Positivo	Positivo	Positivo
Chorei pra Carai no velório da minha vovó	-1.0	Positivo	Negativo	Positivo	Positivo
Eustava gastando uma grana comprando creme de pentear da Boticário e marcas caras. A lógica era: cabelo ruim produtos bons pra ajeitar	-1.0	Positivo	Positivo	Negativo	Positivo
hj o dia está ruim ou péssimo?	-1.0	Negativo	Negativo	Positivo	Negativo
É o belzebu possuindo esse celular da asus	-1.0	Positivo	Negativo	Positivo	Positivo
@juisabele faz sentido né. pais em crise menos pessoas com financeiro pra bancar os filhos na universidade e coisa do tipo	-1.0	Negativo	Negativo	Negativo	Negativo
Pior q Bangu só o inferno q lugar quente mds	-1.0	Negativo	Negativo	Negativo	Negativo
Crlh so Vivo com fome Pqp ✋😪😕😒	-1.0	Negativo	Negativo	Positivo	Negativo
hoje é um péssimo dia pra me ter no snap	-1.0	Negativo	Negativo	Negativo	Negativo
"""A gente ia ser feliz, a gente ia ser um do outro, a gente ia... ia… ia… E não foi ""  - Cidade de papel"	-1.0	Positivo	Negativo	Negativo	Negativo
Atitude de merda..	-1.0	Negativo	Positivo	Negativo	Negativo
Bem legal quando sua mãe joga fora seu trabalho da faculdade e você tem que pegar o sábado pra fazer	-1.0	Positivo	Positivo	Positivo	Positivo
Era só um dia ruim e não uma vida ruim! ❤✋ #ExalaAlegria	-1.0	Positivo	Positivo	Negativo	Positivo
eu quero que a loja da asus exploda, depois de ter cancelado meu pedido cof cof	-1.0	Positivo	Positivo	Negativo	Positivo
O Rio de Janeiro me decepciona cara. Lavei as roupa na maior emoção pra chover horrores DROGA ESAU A CAPA DE VIOLAÓ	-1.0	Negativo	Positivo	Positivo	Positivo
Brother o Daniel é muito cagão no ps4 vai se fuder	-1.0	Negativo	Negativo	Positivo	Negativo
Claro, de vez em quando aparece um Eminem da vida e estraga a festa	-1.0	Negativo	Negativo	Negativo	Negativo
Microcefalia, chicungunha e zica vírus é a distração! A mídia ajuda o governo nessa farsa, nessa mentira, nesse absurdo. CHEGA!	-1.0	Negativo	Negativo	Negativo	Negativo
Ou troca de carro ou compra o ovo da Cacau show.. Os dois nao dá	-1.0	Negativo	Negativo	Negativo	Negativo
Você sabe o que é um Tolypeutes tricinctus? Esse é o famoso tatu-bola. Infelizmente, mais um na lista dos animais ameaçados de extinção.	-1.0	Positivo	Positivo	Negativo	Positivo
To vendo as mina jogar vôlei aq no clube, professor delas mo ignorante slc	-1.0	Negativo	Negativo	Negativo	Negativo
@RevistaISTOE sem dúvida é caça ao líder do bando de aloprados corruptos safados que é feito esse governo e esse partido de PTralhas	-1.0	Negativo	Negativo	Negativo	Negativo
O governo da terrorista @dilmabr escondeu dados de microcefalia. Bandidos. São capazes de matar pelo poder. Genocidas. iMundos. @inst_lula	-1.0	Negativo	Negativo	Negativo	Negativo
a hora que eu consegui melhorar fiquei me cagando de medo de ter passado meu ponto	-1.0	Negativo	Negativo	Negativo	Negativo
ACHO UMA PUTA DA SACANAGEM COM RONAM, TODOS DA MACHOLANDIA ARMARAM PAREDÃO E SÓ CULPA ELE, POR QUE SERÁ, O DANIEL OLHOS CLARO E LOURO NADA	-1.0	Negativo	Positivo	Positivo	Positivo
@leticiapiresc eu so como se for @Subwaybrasil ou @McDonalds_BR o @BurgerKingBR eu nao como nunca mais	-1.0	Negativo	Negativo	Negativo	Negativo
Ana quer um monstro terrível pra Cacau ..kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk Que num pode sentar.. cagar...pra sentar nos pregos...  KKKKKKKKKKK	-1.0	Positivo	Negativo	Negativo	Negativo
Odeio gente velha e palhaça,  to perdendo o pouco de paciência que me resta com essa menina. Namoral MSM!!  VOU FAZER PASSAR VERGONHA! FALSA	-1.0	Negativo	Positivo	Negativo	Negativo
@pilotodotrem22 Abandonou legal as irmãs	-1.0	Positivo	Positivo	Positivo	Positivo
Eu comi um hambúrguer e a minha mãe ainda quer enfiar comida na minha boca de qualquer jeito	-1.0	Negativo	Negativo	Positivo	Negativo
A felicidade atrai a inveja	-1.0	Positivo	Positivo	Positivo	Positivo
Juro que lhe vou mandar outra mensagem hoje, odeio estar chateada com ele por causa de ciúmes.	-1.0	Negativo	Negativo	Negativo	Negativo
animado pra maratona de senhor dos aneis o dia inteiro chega aqui só dublado e ainda nesse formato horroroso so me mata logo pfvr	-1.0	Negativo	Negativo	Positivo	Negativo
Não gosto de perde quem eu mais amo....	-1.0	Positivo	Negativo	Negativo	Negativo
mt interessante mas ngm quer sabwr	-1.0	Positivo	Negativo	Positivo	Positivo
Maior medo do meu cabelo ficar aquele loiro ovo horroroso kkk	-1.0	Negativo	Negativo	Negativo	Negativo
que dia péssimo para uma chuva	-1.0	Negativo	Negativo	Negativo	Negativo
Por que eu penso tanto se eu sempre escolho a pior opção?	-1.0	Positivo	Negativo	Positivo	Positivo
Hoje faz um ano de um negócio horroroso aí que não devia ter acontecido	-1.0	Negativo	Negativo	Negativo	Negativo
pior dor que tem é a dor nas costas :/	-1.0	Positivo	Negativo	Negativo	Negativo
